Time,Open,High,Low,Close,Volume
2022-09-22 06:30:00,142.89,142.907,142.638,142.682,1213
2022-09-22 06:35:00,142.682,142.792,142.568,142.602,1103
2022-09-22 06:40:00,142.6,142.804,142.581,142.702,1071
2022-09-22 06:45:00,142.698,142.744,142.418,142.447,1034
2022-09-22 06:50:00,142.446,142.559,142.352,142.494,1430
2022-09-22 06:55:00,142.5,142.54,142.396,142.509,1507
2022-09-22 07:00:00,142.509,142.72,142.464,142.582,1893
2022-09-22 07:05:00,142.587,142.755,142.514,142.669,1335
2022-09-22 07:10:00,142.67,142.794,142.592,142.742,1300
2022-09-22 07:15:00,142.744,142.744,142.62,142.672,1156
2022-09-22 07:20:00,142.683,142.807,142.678,142.769,935
2022-09-22 07:25:00,142.767,142.812,142.668,142.812,920
2022-09-22 07:30:00,142.812,142.812,142.71,142.734,1062
2022-09-22 07:35:00,142.734,142.734,141.8,141.912,2544
2022-09-22 07:40:00,141.914,141.942,141.614,141.649,2539
2022-09-22 07:45:00,141.652,142.01,141.316,141.768,2276
2022-09-22 07:50:00,141.77,141.774,141.424,141.649,1722
2022-09-22 07:55:00,141.654,141.654,141.253,141.254,2098
2022-09-22 08:00:00,141.252,141.459,141.136,141.142,2158
2022-09-22 08:05:00,141.142,141.274,140.891,141.116,2415
2022-09-22 08:10:00,141.116,141.264,140.73,140.81,2192
2022-09-22 08:15:00,140.81,140.868,140.498,140.722,2203
2022-09-22 08:20:00,140.722,141.119,140.62,141.119,1906
2022-09-22 08:25:00,141.118,141.14,140.542,140.728,1821
2022-09-22 08:30:00,140.73,140.963,140.582,140.815,2087
2022-09-22 08:35:00,140.814,140.988,140.716,140.921,1560
2022-09-22 08:40:00,140.921,140.959,140.6,140.632,1912
2022-09-22 08:45:00,140.629,140.678,140.35,140.427,1947
2022-09-22 08:50:00,140.43,140.78,140.426,140.623,1716
2022-09-22 08:55:00,140.62,140.8,140.527,140.726,1557
2022-09-22 09:00:00,140.726,141.205,140.726,141.154,1772
2022-09-22 09:05:00,141.154,141.274,141.024,141.246,1398
2022-09-22 09:10:00,141.245,141.53,141.244,141.252,1539
2022-09-22 09:15:00,141.243,141.556,141.164,141.528,1773
2022-09-22 09:20:00,141.53,141.568,141.308,141.486,1740
2022-09-22 09:25:00,141.482,141.502,141.3,141.398,1573
2022-09-22 09:30:00,141.396,141.474,141.33,141.363,1931
2022-09-22 09:35:00,141.366,141.736,141.363,141.678,1696
2022-09-22 09:40:00,141.68,141.968,141.657,141.954,1413
2022-09-22 09:45:00,141.955,141.965,141.694,141.83,1304
2022-09-22 09:50:00,141.832,141.969,141.768,141.962,1248
2022-09-22 09:55:00,141.966,142.044,141.858,141.904,1123
2022-09-22 10:00:00,141.902,142.002,141.836,141.942,1160
2022-09-22 10:05:00,141.942,141.984,141.788,141.804,1086
2022-09-22 10:10:00,141.808,141.906,141.545,141.548,1258
2022-09-22 10:15:00,141.548,141.57,141.215,141.57,2132
2022-09-22 10:20:00,141.564,141.798,141.522,141.731,1345
2022-09-22 10:25:00,141.735,141.806,141.615,141.646,1238
